Название,Автор,Ссылка,Рейтинг,Количество голосов,Цена,Количество страниц,Количество отзывов,Текст отзывов,Возраст,Год
Julia. Язык программирования. Быстрый старт,Вадим Никитин,https://www.litres.ru/book/vadim-nikitin-32700223/julia-yazyk-programmirovaniya-bystryy-start-69596290/,"5,0",7,690 ₽,Объем 107 страниц,4,"['Первая книга о Julia, которую я вообще встретила. Очень хорошо написана, супер-простым языком с конкретными примерами и простыми шагами. В самый раз для тех, кто только начинает разбираться в программировании и владеет только базовыми понятиями. Обучалка из разряда смотри - повторяй.', 'Хорошо написанная, простая и понятная книга. Емко, пошагово, наглядно - разберется даже ребенок. Действительно, можно держать книгу под рукой без необходимости гуглить информацию, плюс очень удобно, что есть ссылки на источники. Короче, не книга, а находка!', 'Искренне рекомендую данную книгу по причинам:1. Текстовый формат. Почти все электронные книги по программированию представлены в формате PDF (некоторые даже в DJVU), который очень трудно читать со смартфона. Нужен планшет или хорошая читалка. Автор данной книги предоставил ее ЛитРес в тексте, благодаря чему ее удобно читать везде, а еще можно делать пометки.2. Информативность. Материал отлично структурирован и качественно переведен. По сравнению с чтением официальных мануалов (даже при отсутствии проблем с английским языком) книга сэкономит вам кучу времени.Это действительно отличная книга по Julia, которая знакомит как с азами языка, так и с некоторыми тонкостями, которые сильно помогут в дальнейшем освоении. Julia сама по себе логична и последовательна, и когда вы попытаетесь применить базовые приемы из книги к новым типам объектов, они почти всегда будут вести себя так, как вы ожидаете.', 'Искренне рекомендую данную книгу по причинам:1. Текстовый формат. Почти все электронные книги по программированию представлены в формате PDF (некоторые даже в DJVU), который очень трудно читать со смартфона. Нужен планшет или хорошая читалка. Автор данной книги предоставил ее ЛитРес в тексте, благодаря чему ее удобно читать везде, а еще можно делать пометки.2. Информативность. Материал отлично структурирован и качественно переведен. По сравнению с чтением официальных мануалов (даже при условии отсутствия проблем с английским языком) книга сэкономит вам кучу времени.Это действительно отличная книга по Julia, которая знакомит как с азами языка, так и с некоторыми тонкостями, которые сильно помогут в дальнейшем освоении. Julia сама по себе логична и последовательна, и когда вы попытаетесь применить базовые приемы из книги к новым типам объектов, они почти всегда будут вести себя так, как вы ожидаете.', 'Андрей Павлюченко, почему-то напечаталось два одинаковых отзыва :(']",Возрастное ограничение: 12+,Дата написания: 2023
Life Coder,Гадель Загрутдинов,https://www.litres.ru/book/gadel-zagrutdinov/life-coder-69001012/,"4,1",9,"49,90 ₽",Объем 5 страниц,3,"['автору книги 0 лет. Данная книга не несёт в себе никакого информатива. если описать еë в двух словах это будет: как я провёл ле… ой, как я стал программистом. популистские высказывания, которые можно найти на любом ютуб-ролике о программировании за бесплатно. а тут получается ситуация как будто ты спрашиваешь как дела, тебе отвечают и берут с тебя ещë и деньги. хоть и 50 рублей, но я бы лучше дошика поел за эту цену.', 'Короткий рассказ про путь программиста. Про путь без дорогих курсов, а с помощью самообразования. Интересно. Мотивирует. ', 'Классная история! Интересно было читать! Особенно, когда ты знаешь этого парня с пелёнок ) Я помню как ты показал свою первую игру, это было здорово и я была удивлена, что это ты сделал сам!']",Возрастное ограничение: 18+,Дата написания: 2023
От джуна до сеньора. Как стать востребованным разработчиком,Владимир Швец,https://www.litres.ru/audiobook/vladimir-shvec-32351/ot-dzhuna-do-senora-kak-stat-vostrebovannym-razrabotc-68635922/,"4,6",22,699 ₽,Длительность книги 4 ч. 23 мин.,5,"['Хорошая книга. Простым и понятным языком (и без воды, что немаловажно) рассказывает начинающему разработчику с чем ему придётся столкнуться и даёт полезные советы о том, как преодолеть различные сложности, и по итогу стать более квалифицированным специалистом.', 'отличная книга для новичков. Много практических советов и примеров из жизни. Правильно расставлены акценты и сфокусировано внимание на специфике работы программистом. Показаны минусы и плюсы с чем придется столкнуться тому, кто решит им стать', 'Очень свежо и по делу. Автору спасибо! Ровно год, как я стал бэкенд разработчиком, индустрия очень захватывающая. Книга может стать настольной для каждого из сферы айти. Рекомендую!', 'Рекомендую эту книгу особенно новичкам в ИТ. Не обязательно разработчикам, будет полезна и тестировщикам. Чётко и по делу.', 'Автор делится своим опытом в айти, дает советы, как не выгорать, как относится к неудачам, удачам, как строить отношения с коллегами, почему важно отдыхать и т.д. Возможно, кому-то это книга поможет.']",Возрастное ограничение: 0+,Дата написания: 2023
Конструктор игр Clickteam Fusion,Семён Леонидович Углев,https://www.litres.ru/book/semen-leonidovich-uglev/konstruktor-igr-clickteam-fusion-35497888/,"4,2",34,249 ₽,Объем 425 страниц,14,"['Книга имеет более широкое разъяснение использования программы чем в видеоуроках ClickTeam этого же автора, но без них (видео) некоторые аспекты о построении, перемещении и программировании могут быть неясны. В общих чертах могу сказать, что надо вначале посмотреть статью в книге,а затем смотреть видео, так как в роликах (допустим в первом и втором видеоуроке) автор создаёт активный объект платформу и называет её «Terrain» и программирует остановку персонажа на активный объект – в книге же создает фон и придаёт ему в свойствах значение платформа (Это второй способ, которого нет в видеоуроке). Получается что в книге произведена редакция относительно тех же бесплатных видеоуроков.Материал в книге изложен довольно просто, что позволяет разобраться в программе, но мне иногда не хватает наглядности, поэтому я посматриваю обучающие видео параллельно тому же уроку в книге и обратил внимание на небольшие расхождения при решении одной и той же задачи.', 'Книга абсолютно бесполезна. Все, что тут написано без особых проблем делается интуитивно, если ты совсем не дуб. Я ожидал примеры различных сложных формул, работы с физикой не на уровне детского сада, более менее разбора ИИ. В общем автор создал книгу считайте вообще на уровне первого запуска программы. Эта книга даже не для новичков. Она для детей, которые только научились читать. в группе в ВК по клик тиму информации больше совершенно бесплатно.', 'Книга отличная. Я с ней создал 1 игру за 1 месяц. Нужно просто иметь терпение. Конечно книга показывает инструкции более подробнее, чем видеоуроки. Рекомендую!', 'Все круто, но картинки маленького очень размера… В целом если на это не обращать внимание то описание довольно подробно и разжеванное лучше чем ролики на канале.', 'Мой внук увлекается программированием и я решил купить ему эту книгу в подарок. По его отзывам книга очень просто и наглядно разъясняет правила построения программ для написания игр.']",Возрастное ограничение: 12+,Дата написания: 2018
Чистый Python. Тонкости программирования для профи (pdf+epub),Дэн Бейдер,https://www.litres.ru/book/beyder-d/chistyy-python-tonkosti-programmirovaniya-dlya-profi-pdf-epub-39123332/,"4,5",35,699 ₽,Объем 288 страниц,8,"['Читал книгу Дэна в оригинал, когда ещё не было перевода.В оригинале обошлась дороже, но последующие обновления книги выдаются бесплатно.Отличная книга, знакомит с особенностями языка.С шаблонами решений, которыми более правильно и удобно пользоваться. Мене правильные и ошибочные примеры также рассматриваются и описываются их недостатки.Разбираются вопросы ООП и функционального программирования.', 'Очень и очень полезная книга.Автор раскрывает кучу нюансов программирования на python легко и не принуждённо, даже с юмором.Настоятельно рекомендую к прочтению не только «новичкам», но и «профи со стажем». Если даже «всё это знаете» – хоть поржёте над манерой изложения материала, она достойная! Лично я при эпизодическом опыте программирования на python в 5 лет нашел для себе кое чего новое и переосмыслил некоторые вещи.', 'Много очень интересных нюансов. Книга точно не для полных новичков, но в остальном, большинство найдут в ней интересные знания', 'Показал нескольким начинающим разработчикам, им очень понравилось. С первых страниц изложено кратко, ясно и по делу. Читаю сам, пока нравится все. Издательству отдельный респект за перевод актуальной книги (рассматривают возможности Python 3.6)', 'Отличная книга. Это вторая достойная книга для тех, кто продолжает изучать Python. Хотя правильнее сказать – совершенствует его. Очень живое изложение. Много действительно «фишек», которые можно с успехом использовать. Мне также понравилось, как автор говорит: если не поняли – отдохните немного, я сам не сразу понял эту тему))', 'Константин Митин, а какая первая книга, если не секрет?']",Возрастное ограничение: 16+,Дата написания: 2017
Цифровая Сказка: Захватывающее путешествие в волшебную страну Python,Сергей Свет,https://www.litres.ru/book/sergey-svet/cifrovaya-skazka-zahvatyvauschee-puteshestvie-v-volshebnuu-str-70232341/,"5,0",10,"99,90 ₽",Объем 12 страниц,1,"['Маловато, но увлекательно, простым языком, подойдет и детям, хотелось бы еще. Надеюсь, что для автора это пробный вариант и дальше будет больше, успехов!']",Возрастное ограничение: 0+,Дата написания: 2024
Django 4. Практика создания веб-сайтов на Python,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/django-4-praktika-sozdaniya-veb-saytov-na-python-70297321/,"1,5",2,549 ₽,Объем 791 страница,,[],Возрастное ограничение: 0+,Дата написания: 2023
Как создаются игры. Основы разработки для начинающих игроделов,Наталья Андрианова,https://www.litres.ru/book/grigoriy-radovilskiy/kak-sozdautsya-igry-osnovy-razrabotki-dlya-nachinausc-69595954/,"4,2",5,529 ₽,Объем 408 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2023
Справочник Жаркова по проектированию и программированию искусственного интеллекта. Том 13: Программирование на Visual Basic искусственного интеллекта. Издание 2. Продолжение 2,Валерий Алексеевич Жарков,https://www.litres.ru/book/valeriy-zharkov-3244/spravochnik-zharkova-po-proektirovaniu-i-programmirov-68933844/,0,,199 ₽,Объем 230 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2023
Справочник Жаркова по проектированию и программированию искусственного интеллекта. Том 11: Программирование на Visual Basic искусственного интеллекта. Издание 2,Валерий Алексеевич Жарков,https://www.litres.ru/book/valeriy-zharkov-3244/spravochnik-zharkova-po-proektirovaniu-i-programmirov-68926176/,0,,199 ₽,Объем 348 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2023
От монолита к микросервисам,Сэм Ньюмен,https://www.litres.ru/book/sem-numen/ot-monolita-k-mikroservisam-67727850/,"4,3",4,449 ₽,Объем 266 страниц,3,"['В начале книги идёт общий рассказ о том, что такое микросервисная архитектура, в каких случаях имеет смысл переходить на неё, а в каких нет. Менеджеру, в целом, достаточно прочесть это самое начало, потому что дальше и до конца будут технические детали, больше полезные инженерам.', 'Хорошие идеи и ужасный переводПри чтении складывается такое впечатление, что перевод делал либо ИИ, либо человек, который к ИТ имеет очень слабое отношение. Идет подмена общепринятых понятий (микросервисы - микрослыжбы, например), поэтому, читая, в голове приходится интерпретировать этот перевод принятыми среди программистов терминами, что не очень-то комфортно.\nВ целом книга ничего, надо перечитать в оригинале.', 'Данная книга -- дополнение к книге Ньюмена про микросервисы.\nПеревод местами, как в гуглтранслейте. Но привыкаешь, адаптируешься.']",Возрастное ограничение: 0+,Дата написания: 2021
Веб-дизайн: книга Стива Круга или «Не заставляйте меня думать!». 2-е издание,Стив Круг,https://www.litres.ru/book/stiv-krug/veb-dizayn-kniga-stiva-kruga-ili-ne-zastavlyayte-menya-dumat-2-e-24499534/,"4,1",36,390 ₽,Объем 215 страниц,3,"['Ребята, это суперкнига! Если вы заказчик сайта или разработчик сайтов, она вам пригодится. Я прочел больше ста книг по маркетингу. Из них полезных можно пересчитать по пальцам одной руки. Книга Круга входит в эту пятерку. А уж название НЕ ЗАСТАВЛЯЙТЕ МЕНЯ ДУМАТЬ!\xa0– это вообще главный принцип маркетинга.Must read', 'полезная книга. Причем она полезна как для разработчиков, так и для обычных пользователей.В книге доступно и наглядно автор описал процесс юзабилити-тестирования, рассказал об основных законах юзабилити и указал на ключевые моменты при разработке сайтов.', 'эта книга лишнем не будет, очень сильно помогает развивать мышление дает не плохое знании в области программирование сайтов.']",Возрастное ограничение: 0+,
Машинное обучение и Искусственный Интеллект,Тимур Машнин,https://www.litres.ru/book/timur-mashnin-30184546/mashinnoe-obuchenie-i-iskusstvennyy-intellekt-68495326/,"4,4",10,490 ₽,Объем 480 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2022
Программирование на C++,Дирк Хенкеманс,https://www.litres.ru/book/dirk-henkemans/programmirovanie-na-c-24500254/,"4,2",23,190 ₽,Объем 415 страниц,3,"['Мне очень понравилась эта книга. Книга будет очень полезной для начинающих изучать С++ ставлю 5 звезд. Советую всем объязательно.', 'Понравилось, интересная очень поможет начинающим программистам могу посоветовать. Ставлю 5 звёзд потому что хоть и много но полезно и вроде все', 'Книга будет особенно полезна для начинающих изучать C++, написана на просто языке, хотя примеры приведённые книги относятся к разработке игр. В конце книги рассматривается движок directX']",Возрастное ограничение: 0+,
Справочник Жаркова по проектированию и программированию искусственного интеллекта. Том 12: Программирование на Visual Basic искусственного интеллекта. Издание 2. Продолжение 1,Валерий Алексеевич Жарков,https://www.litres.ru/book/valeriy-zharkov-3244/spravochnik-zharkova-po-proektirovaniu-i-programmirov-68931201/,0,,199 ₽,Объем 50 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2023
Магия Python и вселенная,Джеймс Девис,https://www.litres.ru/book/dzheyms-devis-33032713/magiya-python-i-vselennaya-70747456/,"5,0",62,199 ₽,Объем 43 страницы,2,"['волшебный подход к изучению, возможно поможет создать для детей атмосферу, заинтересовать. книга не большая, но необычная. интересный подход и примеры', 'интересные примеры приведены, все вокруг темы космоса, звезд... для детей на уроке будет интересно. объясняется понятно, можно использовать']",Возрастное ограничение: 12+,Дата написания: 2024
"Знакомство с Web3, Metaverse и ИИ: дорожная карта для бизнеса будущего",Виталий Александрович Гульчеев,https://www.litres.ru/book/vitaliy-aleksandrovi/znakomstvo-s-web3-metaverse-i-ii-dorozhnaya-karta-dly-68829702/,"3,9",7,199 ₽,Объем 31 страница,2,"['Тема очень интересная. Хотелось бы больше примеров, как использовать прямо сейчас ИИ, например для малого бизнеса в нашей стране. Некоторые специалисты уже не по карману бизнесу.', 'Я все же считаю, что бизнес нужно ориентировать на людских ресурсах, а не всецело полагаться на роботов и искусственный разум.']",Возрастное ограничение: 12+,Дата написания: 2023
"Знакомьтесь, Python. Секреты профессии",Евгений Павлов,https://www.litres.ru/book/evgeniy-pavlov-32814604/znakomtes-python-sekrety-professii-69960799/,"4,0",2,549 ₽,Объем 220 страниц,2,"['Вкратце: чтобы понять эту книгу, нужно сначала прочесть другую книгу или пройти вводный курс по Питону. К сожалению, автора очень сильно кидает из стороны в сторону - в каждой главе на читателя вываливается тонна концепций, и ни одна из них не объясняется (мне было проще, т.к. уже примерно год Питона за плечами). Приведу пример - глава ""Объектно-ориентированное программирование"". Первый абзац: закон Мура (казалось бы, причем тут закон Мура?). Второй абзац: основные отличия С++ от С такие то. Далее автор зачем то смешал в кучу основные столпы ООП (инкапсуляцию, наследование, абстракцию и полиморфизм), назвав зачем то полиморфизм наследованием, и в итоге так и не ответив на вопрос - ЧТО из себя представлет ООП и в чем его отличие от процедурного программирования. Также очень много ненужной информации - какое отношение к Питону имеет политическое устройство Нидерландов? Слегка раздражают детские словечки - вжик, бум и т.д. Ну и большое количество просто опечаток, например в названиях файлов. Чувствуется, что книга была задумана как некое вводное (не только в Питон, а вообще в дев) - но автору сильно мешают собственные профессиональные знания, которые он накидал в кучу, и которые новичку будут абсолютно непонятны. Например, зачем на данном этапе ему знать про Solid, статические анализаторы кода, отличия С от С++? Пожелания для следующего издания книги - если вводить концепцию, то давать ей определение. Одного жирного шрифта недостаточно.', 'Начало интересное! но плохо что нету вариантов и форматов для скачивания. Хотя шрифт большой и это плюс. Иллюстрации приятные! КАК ПЕРЕСТАТЬ ЧИТАТЬ И НАЧАТЬ ПРОГРАММИРОВАТЬ... - это про меня :-)']",Возрастное ограничение: 16+,Дата написания: 2023
"Изучаем Паскаль, создавая игры",Татьяна Николаевна Мошникова,https://www.litres.ru/book/tatyana-nikolaevna-moshnikova/izuchaem-paskal-sozdavaya-igry-67299906/,"4,6",5,"54,99 ₽",Объем 64 страницы,2,"['Книга легко читается и будет интересна школьникам. В своей деятельности буду использовать подобный подход к подаче учебного материала. Спасибо за книгу! )', 'Валерия, спасибо за отклик!', 'Подход интересный, но не могу поставить высокую оценку за неоправданное использование goto в примерах. Не надо детей учить дурному тону с самого начала. Максимум в одном примере можно показать, с последующим ""улучшением"". Но лучше сразу дать циклы вместо Goto. Кстати, некоторые реализации Паскаля вообще goto не поддерживают.']",Возрастное ограничение: 6+,Дата написания: 2022
Java. Решение практических задач,Анджел Леонард,https://www.litres.ru/book/andzhel-leonard/java-reshenie-prakticheskih-zadach-67727274/,"4,3",7,449 ₽,Объем 720 страниц,3,"['Думаю в книге приведены хорошие примеры для оттачивания навыков программирования.Мне книга понравилось.Покупкой доволен.', 'Поначалу взял ее для освоения Java, так сказать с нуля. Но потом убедился, что ее лучше использовать имея понимание основ. Но как практичный справочник решения задач, решения в современном стиле и подходе, очень даже хорошая книга.', 'Перевод, конечно, оставляет желать лучшего. Пояснения к решению сухое. Хотелось бы детального разбора задач. Но цена позволяет не жалеть о потраченных деньгах))']",Возрастное ограничение: 0+,Дата написания: 2019
Язык программирования Форт (Forth). Решение задач по программированию,Arsen Gonian,https://www.litres.ru/book/arsen-gonian/high-arsen-gonian-academy-70093276/,"5,0",5,"99,90 ₽",Объем 110 страниц,1,"['Начал изучение программирования с языка Форт. Довольно простой в качестве первого языка, пока не узнал о синтаксисах классики таких как С/С++ (был в ужасе но и к ним привык), не говоря о ""сахарном коде"" Python. Данная книга ""не посвященным"" новичкам позволит сразу начать кодить с ""копи паста"", пока не освоитесь в программировании (начинается книга с примитивов и далее довольно сильно усложняется). Кроме простоты синтаксиса главное достоинство Форта является быстрота выполнения кода, несмотря на интерпретируемость я никогда не испытывал никаких проблем со временем исполнения программ, для любителей компиляторов - Форт может генерировать исполняемые модули, второе его достоинство это интерактивность разработки как в Swift, например, только Форт это поддерживает с 70-х годов. Рекомендую всем, ну а я же просто фанат Форта.']",Возрастное ограничение: 12+,Дата написания: 2023
Программирование на Delphi 7,Сергей Николаевич Талипов,https://www.litres.ru/book/sergey-nikolaevich-talipov/programmirovanie-na-delphi-7-65506377/,"5,0",6,,Объем 84 страницы,1,['Очень помогла в колледже когда устроился. Очень толковая и даёт дальше двигаться. Рекомендую преподавателям информатики.'],Возрастное ограничение: 12+,Дата написания: 2012
Информационные системы. Учебник для вузов,Ирина Телина,https://www.litres.ru/book/aleksandr-vasilev/informacionnye-sistemy-uchebnik-dlya-vuzov-174309/,"2,5",2,149 ₽,Объем 543 страницы,1,"['Большой охват материала. Книга толковая, но сильно устаревшая. Я ее купилв качестве редкоиспользуемого справочника по ""прошлым"" языкам и стандартам.']",Возрастное ограничение: 0+,Дата написания: 2011
"Swift. Основы разработки приложений под iOS, iPadOS и macOS (pdf + epub)",Василий Усов,https://www.litres.ru/book/vasiliy-usov/swift-osnovy-razrabotki-prilozheniy-pod-ios-ipados-i-macos-pd-24426226/,"3,1",64,499 ₽,Объем 545 страниц,17,"['Книга хорошая. Все подробно описано. Единственное что мне не понравилось что некоторые значения были переведены. Например что array это массив это я еще могу понять но Set это Набор а Dictionary это словарь. А например Tupel был переведен как кортеж. Это конечно мое личное мнение но такие значения лучше оставить не переведенными и желательно на английской. А то будет каша от всех этих значений…', 'olegwald И говорить по-английски.', 'В книге полно ошибок, которые новичка могут сбить с толку, либо (что ещё хуже) дать неверную информацию. По содержанию ничего особенного, текущий ценник для данной книги явно перебор. Пожалел о покупке.', 'Я читала документацию на английском. Так вот она в 100 раз понятнее написана, чем это «творение». Сейчас все в писатели рвутся, но совершенно не владеют русским языком. Не надо писать так, будто вы диссертацию защищаете. Вы не выглядите от этого умнее.', 'haughtygrumbler Очень понятно написано с примерами аналогиями. Документация только для тех кто в этом всю жизнь варится.', 'В книге дается только базовый материал, рассчитанный на новичков. Считаю, что свою цену она не оправдывает. Как по мне, лучше прочитать Language Guide на официальном сайте языка Swift. Для тех, кто плохо владеет английским языком, его можно найти в русском варианте.', 'Книга написана для новичков. О чем автор и пишет в начале.Я сам о покупке не жалею, так как с помощью книги хотя бы узнал синтаксис языка. С этим книга справилась.', 'sharachev Причем справляется книга лучше любых курсов, где нет вообще никаких объяснений.']",Возрастное ограничение: 16+,Дата написания: 2021
Разработка смарт-контрактов в Ethereum,Тимур Машнин,https://www.litres.ru/book/timur-mashnin-30184546/razrabotka-smart-kontraktov-v-ethereum-67111800/,"5,0",5,490 ₽,Объем 309 страниц,1,['Очень интересно. Легко и понятно. Можно использовать в практике. Хорошее введение в язык программирования Solidity. Дальше можно изучать лучшие практики языка.'],Возрастное ограничение: 18+,Дата написания: 2022
Решаем задачи Python,Джеймс Девис,https://www.litres.ru/audiobook/dzheyms-devis-33032713/reshaem-zadachi-python-70763311/,"5,0",6,349 ₽,Длительность книги 6 ч. 36 мин.,,[],Возрастное ограничение: 12+,Дата написания: 2024
Android. Программирование для профессионалов (pdf+epub),Билл Филлипс,https://www.litres.ru/book/bill-fillips-7879021/android-programmirovanie-dlya-professionalov-pdf-epub-63732137/,"4,7",12,699 ₽,Объем 704 страницы,4,"['Шикарная книга. Была в 3м издании, но устарела. Увидел новое 4-е издание, купил не задумываясь. Советую всем начинающим Андроид программистам.', 'Книга хорошая, перевод местами мягко говоря странный. Если попросите, приведу ещё несколько примеров, которые меня ставили или в ступор или я просто не понимал, что я сейчас прочитал. СпойлерРусская версия, стр. 245: «Все виджеты наследуются напрямую от ConstraintLayout, и вложенных макетов у нас нет.» английская версия, стр. 208: «All of the widgets are direct children of the single ConstraintLayout – there are no nested layouts.» «Все виджеты наследуются…» в программировании наследование означает кое-что другое. Это переводится не так. Даже онлайн переводчик это перевёл в разы лучше: «Все виджеты являются прямыми дочерними элементами одного ConstraintLayout – вложенных макетов нет».', 'Очень классная книга, тут вся самая полезная и актуальная информация для начинающих android разработчиков. Очень порадовал упор на язык kotlin.', 'Автор потрудился на славу, мне понравилось как изложен материал.Интересны разделы, мне показались увлекательными. Хорошая книга.']",Возрастное ограничение: 12+,Дата написания: 2019
"Создание чат-ботов с Dialogflow, Watson, ChatterBot и Rasa",Тимур Машнин,https://www.litres.ru/book/timur-mashnin-301845/sozdanie-chat-botov-s-dialogflow-watson-chatterbot-i-68510481/,"4,9",7,490 ₽,Объем 284 страницы,1,"['Весьма достойная книга в столь специфичной теме. Чат-боты нынче в большом ходу в маркетинге, соц.сетях и месседжерах. И данная книга даёт неплохое понимание в данной сфере.']",Возрастное ограничение: 12+,Дата написания: 2022
Программирование для дополнительной и виртуальной реальности,Джеймс Девис,https://www.litres.ru/audiobook/dzheyms-devis-330327/programmirovanie-dlya-dopolnitelnoy-i-virtualnoy-real-70763077/,"4,6",10,690 ₽,Длительность книги 15 ч. 32 мин.,,[],Возрастное ограничение: 12+,Дата написания: 2024
Основы искусственного интеллекта в примерах на Python,Анатолий Постолит,https://www.litres.ru/book/anatoliy-postolit/osnovy-iskusstvennogo-intellekta-v-primerah-na-python-67727930/,"4,2",6,549 ₽,Объем 446 страниц,2,"['К сожалению, в книге не мало опечаток и неточностей. Их список даже размещён на сайте издательства, но он, очевидно, не полный. Например, в листинге 4.5 помещение оператора if... else, проверяющего, достигла ли сумма порогового значения, внутрь цикла приведёт к тому, что цикл закончится на первой итерации (когда ещё вся сумма не получена). Поэтому советую все примеры из книги сразу же пробовать реализовать самостоятельно и быть готовым к тому, что их исправление будет дополнительным заданием. Из положительных моментов: книга написана доступным языком и подойдёт для тех, кто хочет с азов понять, как работают нейронные сети и искусственный интеллект.', 'Нельзя называть пособие по реализации нейронных сетей на Python-e  самоучителем по основам искусственного интеллекта. Нейронные сети  - один из разделов ИИ, поэтому у читателей сформируется ложное представление о том, что весь ИИ - это нейронные сети. Достоинства книги: простой язык, даны основные библиотеки, много примеров, несомненная востребованность. Недостатки: общая небрежность в отношении понятийного аппарата и кода - складывается впечатление, что книга писалась в сжатые сроки и не прошла внешнего редактирования.']",Возрастное ограничение: 0+,Дата написания: 2024
"Продвинутое использование торговой платформы MetaTrader 5. Создание индикаторов и торговых роботов на MQL5 и Python. Издание 3-е, исправленное и дополненное",Тимур Машнин,https://www.litres.ru/book/timur-mashnin-301845/prodvinutoe-ispolzovanie-torgovoy-platformy-metatrade-68635601/,"5,0",4,490 ₽,Объем 352 страницы,,[],Возрастное ограничение: 16+,Дата написания: 2022
Layer 2 в мире блокчейна: Путеводитель в будущее децентрализации,Артем Демиденко,https://www.litres.ru/book/artem-demidenko/layer-2-v-mire-blokcheyna-putevoditel-v-buduschee-decentra-69613702/,"4,7",3,199 ₽,Объем 100 страниц,,[],Возрастное ограничение: 12+,Дата написания: 2023
